"id","value","name"
1,"time_36100",-4000
2,"time_36200",-3900
3,"time_36300",-3800
4,"time_36400",-3700
5,"time_36500",-3600
6,"time_36600",-3500
7,"time_36700",-3400
8,"time_36800",-3300
9,"time_36900",-3200
10,"time_36950",-3100
11,"time_37100",-3000
12,"time_37200",-2900
13,"time_37300",-2800
14,"time_37400",-2700
15,"time_37500",-2600
16,"time_37600",-2500
17,"time_37700",-2400
18,"time_37800",-2300
19,"time_37900",-2200
20,"time_37950",-2100
21,"time_38100",-2000
22,"time_38200",-1900
23,"time_38300",-1800
24,"time_38400",-1700
25,"time_38500",-1600
26,"time_38600",-1500
27,"time_38700",-1400
28,"time_38800",-1300
29,"time_38900",-1200
30,"time_38950",-1100
31,"time_39100",-1000
32,"time_39200",-900
33,"time_39300",-800
34,"time_39400",-700
35,"time_39500",-600
36,"time_39600",-500
37,"time_39700",-400
38,"time_39800",-300
39,"time_39900",-200
40,"time_39950",-100
41,"time_60100",0
42,"time_60200",100
43,"time_60300",200
44,"time_60400",300
45,"time_60500",400
46,"time_60600",500
47,"time_60700",600
48,"time_60800",700
49,"time_60900",800
50,"time_61000",900
51,"time_61105",1000
52,"time_61145",1050
53,"time_61205",1100
54,"time_61245",1150
55,"time_61305",1200
56,"time_61345",1250
57,"time_61405",1300
58,"time_61445",1350
59,"time_61505",1400
60,"time_61545",1450
61,"time_61605",1500
62,"time_61645",1550
63,"time_61705",1600
64,"time_61745",1650
65,"time_61807",1700
66,"time_61825",1725
67,"time_61847",1750
68,"time_61875",1775
69,"time_61907",1800
70,"time_61925",1825
71,"time_61947",1850
72,"time_61975",1875
73,"time_62010",1900
74,"time_62020",1910
75,"time_62030",1920
76,"time_62040",1930
77,"time_62050",1940
78,"time_62060",1950
79,"time_62070",1960
80,"time_62080",1970
81,"time_62090",1980
82,"time_62095",1990
83,"time_62110",2000
84,"time_62120",2010